id,MonthYear,Category,Budget
1,10/23,Auto,500.0
2,10/23,Entertainment,1000.0
3,10/23,Food,4000.0
4,10/23,Home,18206.0
5,10/23,Medical,0.0
6,10/23,Personal Items,0.0
7,10/23,Travel,500.0
8,10/23,Utilities,500.0
9,10/23,Other,1294.0
10,11/23,Auto,0.0
11,11/23,Entertainment,1000.0
12,11/23,Food,4000.0
13,11/23,Home,18206.0
14,11/23,Medical,0.0
15,11/23,Personal Items,0.0
16,11/23,Travel,1000.0
17,11/23,Utilities,1000.0
18,11/23,Other,794.0
19,12/23,Auto,0.0
20,12/23,Entertainment,1000.0
21,12/23,Food,4000.0
22,12/23,Home,18206.0
23,12/23,Medical,0.0
24,12/23,Personal Items,0.0
25,12/23,Travel,1000.0
26,12/23,Utilities,1000.0
27,12/23,Other,794.0
28,01/24,Auto,0.0
29,01/24,Entertainment,1000.0
30,01/24,Food,4000.0
31,01/24,Home,18206.0
32,01/24,Medical,0.0
33,01/24,Personal Items,0.0
34,01/24,Travel,1000.0
35,01/24,Utilities,1000.0
36,01/24,Other,794.0
37,02/24,Auto,0.0
38,02/24,Entertainment,1000.0
39,02/24,Food,4000.0
40,02/24,Home,18206.0
41,02/24,Medical,0.0
42,02/24,Personal Items,0.0
43,02/24,Travel,1000.0
44,02/24,Utilities,1000.0
45,02/24,Other,794.0
46,03/24,Auto,0.0
47,03/24,Entertainment,1000.0
48,03/24,Food,4000.0
49,03/24,Home,18206.0
50,03/24,Medical,0.0
51,03/24,Personal Items,0.0
52,03/24,Travel,1000.0
53,03/24,Utilities,1000.0
54,03/24,Other,794.0
55,04/24,Auto,500.0
56,04/24,Entertainment,1500.0
58,04/24,Home,17000.0
59,04/24,Medical,500.0
60,04/24,Personal Items,0.0
61,04/24,Travel,1500.0
62,04/24,Utilities,1000.0
63,04/24,Other,0.0
64,05/24,Auto,500.0
65,05/24,Entertainment,1500.0
66,05/24,Food,4000.0
67,05/24,Home,17000.0
68,05/24,Medical,500.0
69,05/24,Personal Items,0.0
70,05/24,Travel,1500.0
71,05/24,Utilities,1000.0
72,05/24,Other,0.0
73,06/24,Auto,500.0
74,06/24,Entertainment,1500.0
75,06/24,Food,4000.0
76,06/24,Home,17000.0
77,06/24,Medical,500.0
78,06/24,Personal Items,0.0
79,06/24,Travel,1500.0
80,06/24,Utilities,1000.0
81,06/24,Other,0.0
82,07/24,Auto,500.0
83,07/24,Entertainment,1500.0
84,07/24,Food,4000.0
85,07/24,Medical,500.0
86,07/24,Personal Items,0.0
87,07/24,Travel,1500.0
88,07/24,Utilities,1000.0
89,07/24,Other,0.0
90,07/24,Home,17000.0
91,08/24,Auto,500.0
92,08/24,Entertainment,1500.0
93,08/24,Food,4000.0
94,08/24,Medical,500.0
95,08/24,Personal Items,0.0
96,08/24,Travel,1500.0
97,08/24,Utilities,1000.0
98,08/24,Other,0.0
99,08/24,Home,17000.0
100,09/24,Auto,200.0
101,09/24,Entertainment,800.0
102,09/24,Food,3000.0
103,09/24,Medical,0.0
104,09/24,Personal Items,0.0
105,09/24,Travel,500.0
106,09/24,Utilities,1000.0
107,09/24,Other,0.0
108,09/24,Home,20000.0
109,10/24,Auto,200.0
110,10/24,Entertainment,2000.0
111,10/24,Food,4000.0
112,10/24,Home,18000.0
113,10/24,Medical,0.0
114,10/24,Personal Items,0.0
115,10/24,Travel,1000.0
116,10/24,Utilities,800.0
117,11/24,Auto,200.0
118,11/24,Entertainment,2000.0
119,11/24,Food,3000.0
120,11/24,Home,19500.0
121,11/24,Medical,0.0
122,11/24,Personal Items,0.0
123,11/24,Travel,1500.0
124,11/24,Utilities,800.0
125,12/24,Auto,200.0
126,12/24,Entertainment,2000.0
127,12/24,Food,3000.0
128,12/24,Home,19500.0
129,12/24,Medical,0.0
130,12/24,Personal Items,0.0
131,12/24,Travel,1500.0
132,12/24,Utilities,800.0
133,01/25,Auto,200.0
134,01/25,Entertainment,2000.0
135,01/25,Food,3000.0
136,01/25,Home,19500.0
137,01/25,Medical,0.0
138,01/25,Personal Items,0.0
139,01/25,Travel,1500.0
140,01/25,Utilities,800.0
141,01/25,Other,0.0
142,02/25,Auto,200.0
143,02/25,Entertainment,2000.0
144,02/25,Food,3000.0
145,02/25,Home,19500.0
146,02/25,Medical,0.0
147,02/25,Personal Items,0.0
148,02/25,Travel,1500.0
149,02/25,Utilities,800.0
150,02/25,Other,0.0
154,05/25,Auto,200.0
155,05/25,Entertainment,500.0
156,05/25,Food,500.0
157,05/25,Home,500.0
158,05/25,Medical,500.0
161,05/25,Personal Items,500.0
162,05/25,Travel,500.0
163,05/25,Utilities,500.0
174,05/25,Other,50.0
